,username,tweet_id,tweet_date,tweet_content,tweet_retweet_count,tweet_quote_count,tweet_reply_count,tweet_like_count
6598,JoeBiden,1181291855780237314,10/07/2019,"This week, the Trump Administration is set to argue before the Supreme Court that it’s legal to discriminate against someone simply because of who they are or whom they love. It’s a dangerous attack on the civil rights of LGBTQ Americans and everything we stand for.",959,40,259,4672
6599,JoeBiden,1181291856480604160,10/07/2019,"A president should use the full might of the executive branch to secure justice, dignity, and safety for all. Instead, President Trump does the opposite — callously exerting his power over the most vulnerable.

We must send a clear message: We will not stand for this.",302,8,97,2009
6600,JoeBiden,1181263417765548032,10/07/2019,"We cannot, and will not, stand for President Trump’s corruption. We will beat him like a drum.",6877,1469,7696,56169
6601,JoeBiden,1180965202482778112,10/06/2019,"If we stand together we can, and will, end our gun violence epidemic. Read my full plan to address this public health epidemic at https://t.co/AbTUKdGwcV.
https://t.co/SjcCZfVbK7",597,36,518,2966
6602,JoeBiden,1180946076590886912,10/06/2019,President Trump continuously dishonors everything it means to hold the office of President of the United States of America. We must make him a one-term president.,11418,822,4450,77443
6603,JoeBiden,1180935003699580932,10/06/2019,Elena @De11eDonne is the pride of Delaware. Wishing her well as she recovers — we need more professional athletes like her sharing their support for inclusive sports. I'm looking forward to seeing her back on the court soon.,252,158,212,1948
6604,JoeBiden,1180914870805352448,10/06/2019,"No family should be struggling to make ends meet. American farmers are hurting as a result of President Trump’s broken promises — his trade war is reckless. 
 
As president, I’ll stand up to China and pursue a trade policy that prioritizes American workers.https://t.co/r2xsaneMlf",1409,109,733,5346
6605,JoeBiden,1180903546407010304,10/06/2019,"Our planet just experienced the hottest September on record — yet President Trump continues to dismiss the devastating effects of climate change. As president, I’ll address this grave threat and lead the world in addressing our climate emergency.
https://t.co/btVh7yDdgD",1972,108,651,9010
6606,JoeBiden,1180887681913499648,10/06/2019,"It's clear who President Trump works for. He gave giant tax cuts to the super-wealthy and corporations. Now, he’s cutting food stamp funding for the 3rd time. It’s cruel.

No family should go hungry in America. https://t.co/sy6lGkp1bF",4482,245,970,14581
6607,JoeBiden,1180879135670857730,10/06/2019,"Jill and I are devastated to hear about last night’s shooting in Kansas City. No one should ever have to fear that they, or their loved ones, may not return home due to senseless violence.

We must come together as a country to put an end to these tragedies once and for all.",1952,108,544,13916
6608,JoeBiden,1180658582125080581,10/06/2019,"Every day it becomes clearer, we cannot give Donald Trump four more years in the White House. Stand with me, and together we can make him a one-term president: https://t.co/BKuXG8A15i",580,41,409,3209
6609,JoeBiden,1180654653127692288,10/06/2019,"And to Trump and those who facilitate his abuses of power, and all the special interests funding his attacks against me: Please know that I’m not going anywhere. You won’t destroy me, and you won’t destroy my family. And come November 2020, I intend to beat you like a drum.",862,69,387,5450
