,id,timestamp,tweet,replies,retweets,quotes,likes
127,207857212155117569,05/30/2012,The President and First Lady recorded a special message for servicemembers to mark the launch of @Vets4Obama: ,7,31,0,11
128,207895494494658560,05/30/2012,January 2011: VP Biden travels with Gen. David Petraeus aboard a Chinook helicopter in Afghanistan. ,15,30,5,48
129,207935598835671040,05/30/2012,"From career counseling to tax credits, find out what President Obama is doing to help military families: ",1,18,0,6
130,207957461552988160,05/30/2012,President Obama is standing up for those who serve—join Veterans and Military Families for Obama to stand with him: ,24,52,0,10
131,208227567252156416,05/31/2012,"As a military mom, Dr. Jill Biden knows how important it is that we provide long-term support to our veterans: ",6,15,0,11
132,208259288647483392,05/31/2012,Read Dr. Biden’s powerful account of her son’s deployment to Iraq in 2008: ,2,10,0,7
133,208293581461528576,05/31/2012,It’s Barack’s last campaign—chip in what you can before tonight’s important fundraising deadline: ,8,28,0,3
134,208352943630585856,06/01/2012,Get the facts on President Obama’s record of preserving our sacred trust with our servicemembers and veterans: ,10,50,0,8
135,208619916507619328,06/01/2012,"Last December, VP Biden welcomed home sailors of the USS Gettysburg after a deployment to the Middle East: ",4,9,0,4
136,208654410207870976,06/01/2012,"For all the latest on #Obama2012’s work with vets and military families, follow @Vets4Obama, @BeauBiden, and @JoiningForces. #FF",3,36,0,7
137,208690177017774080,06/01/2012,The VP on the promises the Obama administration has kept to servicemembers and veterans: ,13,30,0,10
138,210054130574704642,06/05/2012,"VP Biden, @arneduncan, and @CFPB’s Richard Cordray announce plans to make college more affordable: ",2,12,0,5
139,210074282276028417,06/05/2012,The VP believes students should know how much a year of college will cost—and what types of financial aid are available to them.,15,23,5,15
140,210089880565465090,06/05/2012,Get to know the President’s blueprint for making college more affordable: ,8,30,0,6
141,210111717840142336,06/05/2012,Weigh in with what you’d like to see on the @CFPB’s “Know Before You Owe” college financial aid shopping sheet: ,7,5,0,6
142,210434360862711808,06/06/2012,Massachusetts was 47th out of 50 states in job creation with Mitt Romney at the helm: ,13,69,0,9
143,210450686868062210,06/06/2012,"VP Biden on the 334,000 manufacturing jobs created in the past two years: ",9,23,0,4
144,210466777547812864,06/06/2012,“It's going to empower students and families to be back in the driver's seat.”—VP Biden on new college financial aid tools,3,17,0,4
145,210490588762615809,06/06/2012,The VP and the @CFPB are helping every college student get the right info on how to pay for their education: ,9,26,0,7
146,210843885382021123,06/07/2012,The VP enjoyed some frozen custard with locals in downtown Winston-Salem yesterday: ,9,20,0,9
147,211129735651131393,06/08/2012,Photo of the day: VP Biden dancing with his daughter Ashley at her wedding on Saturday. ,9,33,0,17
148,211160988483985408,06/08/2012,"While Romney’s policies are the same ones that led us into the 2008 economic crisis, the President is fighting to get folks back on the job.",123,468,0,73
149,211210933182283776,06/08/2012,The choice for the middle class is clear—Romney would cut jobs for teachers and first responders; the President would put them back to work.,223,1017,0,121
150,211227986140217345,06/08/2012,The President’s jobs plan would put folks back to work right away—tell Congress we can’t wait: ,40,112,0,10
151,212277487344943104,06/11/2012,"Cutting jobs for teachers, firefighters, and police officers won’t grow the economy—but that’s Mitt Romney’s plan: ",22,138,1,11
152,212649814117203969,06/12/2012,"The Romney campaign doubled down on its pledge to cut jobs for teachers, firefighters, and police officers yesterday: ",16,63,0,9
153,212662277764161536,06/12/2012,The President’s plan to put cops and firefighters back to work would protect our nation’s “most basic obligation” to keep our citizens safe.,27,66,2,12
154,212674669680144384,06/12/2012,"Romney Economics means fewer teachers, fewer firefighters, and fewer police officers: ",10,53,0,9
155,212689906366029824,06/12/2012,"The VP meets with supporters after speaking at a fire station in Flint, Michigan in 2011: ",4,23,1,10
156,213044320872316929,06/13/2012,We asked people to share how teachers and first responders have impacted their lives—and the responses poured in: ,4,40,0,14
157,213055943129313281,06/13/2012,The President is speaking on economic fairness tomorrow at 1:45pm ET. RSVP to watch live: ,8,37,0,9
158,213285581311053824,06/14/2012,Don’t forget to watch the President speak on building an economy that works for everyone at 1:45pm ET: ,6,36,0,4
159,213323458719907843,06/14/2012,We’ll be live-tweeting the President’s remarks on @Obama2012—follow along for the latest.,7,18,0,7
160,213381325875453952,06/14/2012,The President laid out starkly the choice in this election—between Gov. Romney and the GOP vision and ours. Great speech. –Joe,8,44,0,10
161,213381817074581505,06/14/2012,The President made it clear: The only way we believe we can build an economy that lasts is through a middle class that prospers. –Joe,20,137,0,20
162,213382676978212864,06/14/2012,"American voters, the President was right. The only way to break the stalemate in Washington is you. –Joe",12,86,0,13
163,213383827140251649,06/14/2012,The President said it well: We have a plan to give everyone a fair shot. They don’t. –Joe,24,125,0,15
164,213384764030324736,06/14/2012,Agree 100% with the President: We can’t afford to jeopardize our future by repeating the mistakes of the past. –Joe,31,91,0,14
165,213684031378829314,06/15/2012,The VP’s pledge to those who keep us safe: ,9,41,0,17
166,214812141696462848,06/18/2012,Dr. Biden knows our students deserve a President who’s committed to their education—join her as an Educator for Obama: ,6,31,0,11
167,214824572829188096,06/18/2012,Watch why teachers all over the country are doing everything they can to get President Obama re-elected in November: ,7,57,0,9
